track_id,frame,timestamp,x,y,width,height
person_0,4050,2025-03-18 09:27:12.407991,1166,486,1280,720
person_0,4060,2025-03-18 09:27:12.741613,1166,486,1280,720
person_0,4070,2025-03-18 09:27:13.075236,1166,486,1280,720
person_0,4080,2025-03-18 09:27:13.408858,1166,486,1280,720
person_0,4090,2025-03-18 09:27:13.742481,1166,486,1280,720
person_1,4600,2025-03-18 09:27:30.757228,991,190,1280,720
person_1,4610,2025-03-18 09:27:31.090851,991,190,1280,720
person_1,4620,2025-03-18 09:27:31.424473,991,190,1280,720
person_1,4630,2025-03-18 09:27:31.758096,991,190,1280,720
person_1,4640,2025-03-18 09:27:32.091718,991,190,1280,720
person_2,4750,2025-03-18 09:27:35.761566,778,145,1280,720
person_2,4760,2025-03-18 09:27:36.095188,778,145,1280,720
person_2,4770,2025-03-18 09:27:36.428811,778,145,1280,720
person_2,4780,2025-03-18 09:27:36.762433,778,145,1280,720
person_2,4790,2025-03-18 09:27:37.096056,778,145,1280,720
person_3,7450,2025-03-18 09:29:05.839639,242,399,1280,720
person_3,7460,2025-03-18 09:29:06.173262,242,399,1280,720
person_3,7470,2025-03-18 09:29:06.506884,242,399,1280,720
person_3,7480,2025-03-18 09:29:06.840507,242,399,1280,720
person_3,7490,2025-03-18 09:29:07.174129,242,399,1280,720
person_4,7850,2025-03-18 09:29:19.184539,493,336,1280,720
person_4,7860,2025-03-18 09:29:19.518162,493,336,1280,720
person_4,7870,2025-03-18 09:29:19.851784,493,336,1280,720
person_4,7880,2025-03-18 09:29:20.185407,493,336,1280,720
person_4,7890,2025-03-18 09:29:20.519029,493,336,1280,720
person_5,8150,2025-03-18 09:29:29.193214,1166,486,1280,720
person_5,8160,2025-03-18 09:29:29.526837,1166,486,1280,720
person_5,8170,2025-03-18 09:29:29.860459,1166,486,1280,720
person_5,8180,2025-03-18 09:29:30.194082,1166,486,1280,720
person_5,8190,2025-03-18 09:29:30.527704,1166,486,1280,720
person_6,11400,2025-03-18 09:31:17.620525,780,143,1280,720
